,Unnamed: 0,source,code,site,Address,la_id,Authority,site_type,os_grid_x,os_grid_y,latitude,longitude,OpeningDate,ClosingDate,end_year,start_year,geometry
23,24,kcl,TL6,Newham - Britannia Gate,Britannia Gate/Silvertown Way,25,Newham,Roadside,540336.0,180260.0,51.503858,0.020574415,2020-12-04,,2024,2020,POINT (540336.0000421177 180260.0000841114)
20,21,kcl,CE2,Waterloo Place (The Crown Estate),12 Waterloo Place,33,Westminster,Roadside,529662.0,180391.0,51.5075819137762,-0.133068372704093,2020-12-21,,2024,2020,POINT (529662.0000389141 180391.00008415105)
72,73,kcl,CT8,City of London - Upper Thames Street,Upper Thames Street,7,City of London,Roadside,532829.0,180694.0,51.5095436853913,-0.0873571979556188,2007-04-22 01:00:00,2021-09-13 01:00:00,2021,2007,POINT (532829.0000398646 180694.00008424092)
63,64,kcl,CT6,City of London - Walbrook Wharf,Upper Thames Street / Walbrook Wharf,7,City of London,Roadside,532527.0,180789.0,51.510499,-0.091634,2007-04-01 01:00:00,2023-01-09,2023,2007,POINT (532527.000039774 180789.00008427148)
495,496,kcl,CE1,Regent Street facade (The Crown Estate),139 Regent Street,33,Westminster,Roadside,529224.0,180792.0,51.5111824979787,-0.139114122784456,2020-05-01 01:00:00,2023-03-01,2023,2020,POINT (529224.0000387827 180792.00008427037)
340,341,kcl,KSJ,Kings Micromet Kings Bldg Sonic,"Kings Building, Strand Campus",500,ERG Research,Urban Background,530829.0,180852.0,51.5114297353077,-0.11610128291258,2008-10-01 01:00:00,,2024,2008,POINT (530829.0000392643 180852.0000842887)
421,422,kcl,KSK,Kings Micromet Kings Building,"King's Building, Strand Campus",500,ERG Research,Urban Background,530829.0,180852.0,51.5114297353077,-0.11610128291258,2008-01-01,,2024,2008,POINT (530829.0000392643 180852.0000842887)
108,109,kcl,WM5,Westminster - Covent Garden,"London Transport Museum, 39 Wellington Street",33,Westminster,Urban Background,530444.0,180903.0,51.5119769825798,-0.12162720332856,2009-07-10 01:00:00,,2024,2009,POINT (530444.0000391488 180903.00008430338)
480,481,kcl,NB1,Westminster - Strand (Northbank BID),"King's College London, Strand Campus, Strand",33,Westminster,Roadside,530785.0,180911.0,51.5119701188277,-0.116713103528546,2015-04-28 01:00:00,2023-08-12 01:00:00,2023,2015,POINT (530785.0000392512 180911.00008430675)
253,254,kcl,KSS,Kings Micromet Strand Building,"Strand Building, Strand Campus",500,ERG Research,Urban Background,530810.0,180912.0,51.5119733233648,-0.11635267927536,2008-01-01,,2024,2008,POINT (530810.0000392587 180912.00008430704)
259,260,kcl,KSR,Kings Micromet Strand Bldg Sonic,"Kings Building, Strand Campus",500,ERG Research,Urban Background,530810.0,180912.0,51.5119733233648,-0.11635267927536,2009-01-01,,2024,2009,POINT (530810.0000392587 180912.00008430704)
30,31,kcl,GV2,Westminster - Duke Street (Grosvenor),"78 Duke Street, Mayfair",33,Westminster,Roadside,528409.0,180965.0,51.5129998832095,-0.150913488159214,2019-08-22 17:00:00,2024-01-08,2024,2019,POINT (528409.0000385381 180965.0000843224)
437,438,kcl,WM6,Westminster - Oxford Street,"433 Oxford St, Mayfair",33,Westminster,Kerbside,528276.0,181065.0,51.5139287404213,-0.152792701881935,2011-01-01,,2024,2011,POINT (528276.0000384982 181065.0000843532)
